rule,file_pattern,message_contains,severity_threshold,expiry,reason,approved_by,approved_date,ticket,status
# --------------------------------------------------------------------------------------------------------------,,,,,,,,,
# Salesforce Code Analyzer Waiver Register,,,,,,,,,
# Managed by: DevOps / Tech Lead  |  Branch: main  |  Path: .github/sf-scanner-waivers.csv,,,,,,,,,
# --------------------------------------------------------------------------------------------------------------,,,,,,,,,
# SCHEMA,,,,,,,,,
#   rule              REQUIRED  Rule name as reported in SF Scanner CSV output (substring match),,,,,,,,,
#   file_pattern      REQUIRED  Filename as reported in SF Scanner CSV output (substring match, e.g. MyClass.cls),,,,,,,,
#   message_contains  OPTIONAL  Substring of the violation message to narrow the match (leave blank = match all messages),,,,,,,,,
#   severity_threshold OPTIONAL  Only waive violations at this severity or above (leave blank = match any severity),,,,,,,,,
#   expiry            REQUIRED  Hard deadline YYYY-MM-DD - pipeline FAILS after this date if violation persists,,,,,,,,,
#   reason            REQUIRED  Business justification. Include Jira/ticket reference.,,,,,,,,,
#   approved_by       REQUIRED  GitHub username of approver (Tech Lead / DevOps / Security team),,,,,,,,,
#   approved_date     REQUIRED  Date approval was granted YYYY-MM-DD,,,,,,,,,
#   ticket            REQUIRED  Jira or GitHub issue tracking the fix (e.g. PROJ-123),,,,,,,,,
#   status            REQUIRED  ACTIVE = waiver in force | REVOKED = waiver cancelled (row kept for audit),,,,,,,,,
# --------------------------------------------------------------------------------------------------------------,,,,,,,,,
# GOVERNANCE,,,,,,,,,
#   1. Developer identifies a violation that cannot be fixed immediately,,,,,,,,,
#   2. Developer raises a PR against main adding a waiver row here (fully populated),,,,,,,,,
#   3. Tech Lead reviews justification, expiry date (<= 30 days from today), and ticket reference,,,,,,,
#   4. Tech Lead approves and merges - approved_by must match their GitHub username,,,,,,,,,
#   5. Developer sets a reminder before expiry date to fix the violation or request renewal,,,,,,,,,
#   6. Once fixed, update status to REVOKED (do NOT delete - preserves audit trail),,,,,,,,
#   7. Critical violations (severity 1–2) require Security/DevOps approval; max 7-day waiver,,,,,,,,,
# --------------------------------------------------------------------------------------------------------------,,,,,,,,,
ApexDoc,CoverageDemoService.cls,,3,15-04-2026,Missing ApexDoc on public methods - comments will be added by April 15 2026. Tracked in PROJ-001.,mukeshranadeloitte,10-03-2026,PROJ-001,ACTIVE
ApexDoc,DeploySmokeCheck.cls,,3,15-04-2026,Missing ApexDoc on public methods - comments will be added by April 15 2026. Tracked in PROJ-002.,mukeshranadeloitte,07-03-2026,PROJ-002,ACTIVE
ApexCRUDViolation,AccountUtilityService.cls,,3,19-04-2026,Missing ApexDoc on public methods - comments will be added by April 17 2026. Tracked in PROJ-003.,chorevathi-deloitte,07-03-2026,PROJ-003,ACTIVE
IfStmtsMustUseBraces,CoverageDemoService.cls,,3,2026-05-14,Violation waived,mukeshranadeloitte,2026-04-14,JIRA-0004,ACTIVE
ApexAssertionsShouldIncludeMessage,CoverageDemoServiceTest.cls,,3,2026-05-14,Violation waived,mukeshranadeloitte,2026-04-14,JIRA-005,ACTIVE
ApexAssertionsShouldIncludeMessage,SmokeTestPingResourceTest.cls,,3,2026-05-14,Temp Waiver,chorevathi-deloitte,2026-04-14,JIRA-006,ACTIVE
