Component,Type,Severity,Category,Issue,Location,Reference,Suggestion
violationsDemo,agent-review,Critical,Web-App-Security,javascript: URI used as href — XSS vector; clicking the link executes arbitrary JavaScript in the user browser,violationsDemo.html:8,Salesforce Security Implementation Guide — XSS Prevention · OWASP Top 10 A03,Remove the javascript: href entirely. Use a LWC event handler with onclick={handleClick} on a lightning-button instead.
violationsDemo,agent-review,Critical,Web-App-Security,innerHTML assigned with unsanitized string containing onerror event handler — stored XSS; executes script when image fails to load,violationsDemo.js:25,Salesforce LWC Security Guide — innerHTML · OWASP Top 10 A03,Never assign to innerHTML. Use reactive template rendering or DOMParser with explicit sanitization.
violationsDemo,agent-review,Critical,Web-App-Security,eval() called with a string literal — explicit eval; allows arbitrary code execution,violationsDemo.js:13,Salesforce LWC Security Guide — no-eval · OWASP Top 10 A03,Remove eval() entirely. Refactor to use direct function calls or conditional logic.
violationsDemo,agent-review,High,Web-App-Security,document.querySelector used directly — bypasses LWC Locker Service; accesses DOM outside component shadow root,violationsDemo.js:22,Salesforce LWC Security Guide — Locker Service,Replace document.querySelector with this.template.querySelector to stay within component scope.
violationsDemo,agent-review,High,Web-App-Security,setTimeout called with a string argument — implied eval; treated as code string by browser engines,violationsDemo.js:31,Salesforce LWC Security Guide — no-eval,"Replace with setTimeout(() => { ... }, 10) using a function reference."
violationsDemo,agent-review,High,Anti-Pattern,@api property (title) reassigned inside connectedCallback — LWC no-api-reassignments violation; parent-supplied value overwritten,violationsDemo.js:15,LWC Developer Guide — @api properties are read-only inside component,"Use an internal tracked property (e.g. _title) and initialise from @api title via getter/setter. Never assign to @api directly."
violationsDemo,agent-review,High,Security,<img> missing alt attribute — allows onerror-based XSS if src is dynamic; also accessibility violation,violationsDemo.html:5,WCAG 2.1 — Alt Text · Salesforce LWC Accessibility Guide,"Add a descriptive alt attribute: <img src={imageUrl} alt=""Description of image"">."
violationsDemo,agent-review,Medium,Anti-Pattern,var used instead of let/const — function-scoped hoisting risk; LWC no-var lint rule,violationsDemo.js:9,LWC Developer Guide — Best Practices · ESLint no-var,Replace var unused = 123 with const unused = 123 or remove the unused variable entirely.
violationsDemo,agent-review,Medium,Anti-Pattern,Loose equality (==) used instead of strict equality (===) — type coercion risk; eqeqeq lint rule,violationsDemo.js:10,ESLint eqeqeq,Replace == with ===.
violationsDemo,agent-review,Medium,Anti-Pattern,console.log calls present in production component — no-console lint rule; leaks debug output to browser console,violationsDemo.js:11,ESLint no-console,Remove all console.log statements. Use Platform Event or custom log object if observability is needed.
violationsDemo,agent-review,Medium,Web-App-Security,Hardcoded external image URL (https://example.com/image.png) not listed in CSP Trusted Sites — browser may block image load,violationsDemo.js:5,Salesforce Help — Content Security Policy Overview,"Add example.com to Setup > CSP Trusted Sites with img-src directive. Or host the image as a static resource via $Resource."
SmokeTestPingResource,agent-review,Medium,Security,doGet() returns userId and orgId to any authenticated REST caller without access-level check — information disclosure risk on shared orgs,SmokeTestPingResource.cls:12-19,Salesforce Security Implementation Guide — REST Endpoint Security,"Add a permission check (e.g. FeatureManagement.checkPermission()) before returning org/user identity data to callers."
CoverageDemoService,agent-review,Medium,SOLID-SRP,Class mixes three unrelated responsibilities: calcDiscount + classifyAccount + computeRiskScore — violates Single Responsibility Principle,CoverageDemoService.cls:1-78,Clean Code — SRP · Salesforce Well-Architected Framework,Split into DiscountService / AccountClassificationService / RiskScoringService. Each class should have one reason to change.
CoverageDemoService,agent-review,Medium,SOLID-OCP,classifyAccount() has 7-branch if/else chain on revenue/employee/name — adding a new tier requires modifying the method body,CoverageDemoService.cls:30-42,Salesforce Developer Blog — Metadata Trigger Framework · Apex Enterprise Patterns,"Replace with Custom Metadata-driven rules table (ClassificationRule__mdt). Method becomes a loop over rules — open for extension without modification."
CoverageDemoService,agent-review,Medium,Anti-Pattern,catch(Exception e) swallows exception and substitutes magic number score=1 with no logging — silent failure hides bugs and makes debugging impossible,CoverageDemoService.cls:62-64,Apex Exception Handling Best Practices,"Log via System.debug(LoggingLevel.ERROR ...) or Platform Event. Document why score=1 is the correct fallback. Consider re-throwing."
AccountUtilityService,agent-review,Low,Test-Quality,updateAccountDescriptions() has no bulk test with >= 200 records — method calls DML on a List and must be verified at bulk scale,AccountUtilityServiceTest.cls:43-72,Apex Testing Best Practices — Bulk Testing,"Add a test inserting 200 accounts and calling updateAccountDescriptions() with all 200 IDs. Assert updatedCount == 200."
SmokeTestPingResource,agent-review,Low,Test-Quality,"pingReturnsOk() assertions are too weak: orgId != null and timestampUtc.contains('T') — does not verify actual org identity or full timestamp format",SmokeTestPingResourceTest.cls:14-17,Apex Testing Best Practices — Meaningful Assertions,"Strengthen to: assertEquals(UserInfo.getOrganizationId(), out.orgId); assertEquals(20, out.timestampUtc.length()); assert(out.timestampUtc.endsWith('Z'))."
AccountUtilityService,agent-review,Info,Governor-Performance,getAccountsByType() filters on Account.Type which is not a standard indexed field — monitor selectivity if Account volume exceeds 100K records,AccountUtilityService.cls:8-13,Salesforce SOQL Optimization — Query Selectivity,If Account grows beyond 100K records consider adding additional WHERE filters or requesting a custom index on Type field.
